station_name,address,city,state_province,zip_postal_code,full_address,geocode_result,latitude,longitude,osm_class,osm_type,osm_display_name
BOULDER / CARPENTER PARK1,1505 30th St,Boulder,Colorado,80303,"1505 30th St, Boulder, Colorado, 80303","1505, 30th Street, Boulder, Boulder County, Colorado, 80303, United States",40.011587,-105.2536332,place,house,"1505, 30th Street, Boulder, Boulder County, Colorado, 80303, United States"
BOULDER / CARPENTER PARK2,1505 30th St,Boulder,Colorado,80303,"1505 30th St, Boulder, Colorado, 80303","1505, 30th Street, Boulder, Boulder County, Colorado, 80303, United States",40.011587,-105.2536332,place,house,"1505, 30th Street, Boulder, Boulder County, Colorado, 80303, United States"
BOULDER / AIRPORT ST1,3335 Airport Rd,Boulder,Colorado,80301,"3335 Airport Rd, Boulder, Colorado, 80301","Journeys Aviation FBO, 3335, Airport Road, Vista Village, Boulder, Boulder County, Colorado, 80301, United States",40.0373385,-105.2306014,aeroway,terminal,"Journeys Aviation FBO, 3335, Airport Road, Vista Village, Boulder, Boulder County, Colorado, 80301, United States"
COMM VITALITY / 5050 PEARL 1,5050 Pearl St,Boulder,Colorado,80301,"5050 Pearl St, Boulder, Colorado, 80301","5050, Pearl Street, Boulder, Boulder County, Colorado, 80301, United States",40.025324,-105.2354773,building,yes,"5050, Pearl Street, Boulder, Boulder County, Colorado, 80301, United States"
BOULDER / VALMONT ST2,5333 Valmont Rd,Boulder,Colorado,80301,"5333 Valmont Rd, Boulder, Colorado, 80301","5333, Valmont Road, Pleasant View Knoll, Boulder, Boulder County, Colorado, 80301, United States",40.0297713,-105.2292324,place,house,"5333, Valmont Road, Pleasant View Knoll, Boulder, Boulder County, Colorado, 80301, United States"
BOULDER / VALMONT ST1,5333 Valmont Rd,Boulder,Colorado,80301,"5333 Valmont Rd, Boulder, Colorado, 80301","5333, Valmont Road, Pleasant View Knoll, Boulder, Boulder County, Colorado, 80301, United States",40.0297713,-105.2292324,place,house,"5333, Valmont Road, Pleasant View Knoll, Boulder, Boulder County, Colorado, 80301, United States"
BOULDER / OSMP FLEET 2,2520 55th St,Boulder,Colorado,80301,"2520 55th St, Boulder, Colorado, 80301","2520, 55th Street, Boulder, Boulder County, Colorado, 80301, United States",40.0247901,-105.2249294,building,office,"2520, 55th Street, Boulder, Boulder County, Colorado, 80301, United States"
BOULDER / OSMP FLEET 1,2520 55th St,Boulder,Colorado,80301,"2520 55th St, Boulder, Colorado, 80301","2520, 55th Street, Boulder, Boulder County, Colorado, 80301, United States",40.0247901,-105.2249294,building,office,"2520, 55th Street, Boulder, Boulder County, Colorado, 80301, United States"
MUNICIPAL SC / 1500PEARL2,1500 Pearl St,Boulder,Colorado,80302,"1500 Pearl St, Boulder, Colorado, 80302","1500, Pearl Street, Boulder, Boulder County, Colorado, 80302, United States",40.0185267,-105.275277,amenity,parking,"1500, Pearl Street, Boulder, Boulder County, Colorado, 80302, United States"
MUNICIPAL SC / 1104 SPRUCE1,1100 Spruce St,Boulder,Colorado,80302,"1100 Spruce St, Boulder, Colorado, 80302","1100, Spruce Street, Boulder, Boulder County, Colorado, 80302, United States",40.0185404,-105.2814748,shop,vacant,"1100, Spruce Street, Boulder, Boulder County, Colorado, 80302, United States"
MUNICIPAL SC / 1000WALNUT1,900 Walnut St,Boulder,Colorado,80302,"900 Walnut St, Boulder, Colorado, 80302","St Julien Hotel & Spa, 900, Walnut Street, Boulder, Boulder County, Colorado, 80302, United States",40.0158477,-105.282609,tourism,hotel,"St Julien Hotel & Spa, 900, Walnut Street, Boulder, Boulder County, Colorado, 80302, United States"
MUNICIPAL SC / 1100WALNUT1,1100 Walnut,Boulder,Colorado,80302,"1100 Walnut, Boulder, Colorado, 80302","1100, Walnut Street, Boulder, Boulder County, Colorado, 80302, United States",40.016553,-105.280755,place,house,"1100, Walnut Street, Boulder, Boulder County, Colorado, 80302, United States"
MUNICIPAL SC / 1000WALNUT2,900 Walnut St,Boulder,Colorado,80302,"900 Walnut St, Boulder, Colorado, 80302","St Julien Hotel & Spa, 900, Walnut Street, Boulder, Boulder County, Colorado, 80302, United States",40.0158477,-105.282609,tourism,hotel,"St Julien Hotel & Spa, 900, Walnut Street, Boulder, Boulder County, Colorado, 80302, United States"
MUNICIPAL SC / 1400 WALNUT1,1400 Walnut St,Boulder,Colorado,80302,"1400 Walnut St, Boulder, Colorado, 80302","1400, Walnut Street, Boulder, Boulder County, Colorado, 80302, United States",40.0173163,-105.2766353,place,house,"1400, Walnut Street, Boulder, Boulder County, Colorado, 80302, United States"
MUNICIPAL SC / 2200 BROADWAY1,2240 Broadway,Boulder,Colorado,80302,"2240 Broadway, Boulder, Colorado, 80302","2240, Broadway, Boulder, Boulder County, Colorado, 80302, United States",40.0203683,-105.2807105,place,house,"2240, Broadway, Boulder, Boulder County, Colorado, 80302, United States"
MUNICIPAL SC / 1500PEARL1,1500 Pearl St,Boulder,Colorado,80302,"1500 Pearl St, Boulder, Colorado, 80302","1500, Pearl Street, Boulder, Boulder County, Colorado, 80302, United States",40.0185267,-105.275277,amenity,parking,"1500, Pearl Street, Boulder, Boulder County, Colorado, 80302, United States"
BOULDER / FLT MNT E6,5064 Pearl St,Boulder,Colorado,80301,"5064 Pearl St, Boulder, Colorado, 80301","5064, Pearl Street, Boulder, Boulder County, Colorado, 80301, United States",40.0245082,-105.2334709,building,yes,"5064, Pearl Street, Boulder, Boulder County, Colorado, 80301, United States"
BOULDER / FLT MNT E4,5064 Pearl St,Boulder,Colorado,80301,"5064 Pearl St, Boulder, Colorado, 80301","5064, Pearl Street, Boulder, Boulder County, Colorado, 80301, United States",40.0245082,-105.2334709,building,yes,"5064, Pearl Street, Boulder, Boulder County, Colorado, 80301, United States"
BOULDER / FLT MNT E8,5064 Pearl St,Boulder,Colorado,80301,"5064 Pearl St, Boulder, Colorado, 80301","5064, Pearl Street, Boulder, Boulder County, Colorado, 80301, United States",40.0245082,-105.2334709,building,yes,"5064, Pearl Street, Boulder, Boulder County, Colorado, 80301, United States"
BOULDER / FLT MNT E7,5064 Pearl St,Boulder,Colorado,80301,"5064 Pearl St, Boulder, Colorado, 80301","5064, Pearl Street, Boulder, Boulder County, Colorado, 80301, United States",40.0245082,-105.2334709,building,yes,"5064, Pearl Street, Boulder, Boulder County, Colorado, 80301, United States"
BOULDER / FLT MNT E1,5064 Pearl St,Boulder,Colorado,80301,"5064 Pearl St, Boulder, Colorado, 80301","5064, Pearl Street, Boulder, Boulder County, Colorado, 80301, United States",40.0245082,-105.2334709,building,yes,"5064, Pearl Street, Boulder, Boulder County, Colorado, 80301, United States"
BOULDER / FLT MNT E2,5064 Pearl St,Boulder,Colorado,80301,"5064 Pearl St, Boulder, Colorado, 80301","5064, Pearl Street, Boulder, Boulder County, Colorado, 80301, United States",40.0245082,-105.2334709,building,yes,"5064, Pearl Street, Boulder, Boulder County, Colorado, 80301, United States"
BOULDER / FLT MNT E5,5064 Pearl St,Boulder,Colorado,80301,"5064 Pearl St, Boulder, Colorado, 80301","5064, Pearl Street, Boulder, Boulder County, Colorado, 80301, United States",40.0245082,-105.2334709,building,yes,"5064, Pearl Street, Boulder, Boulder County, Colorado, 80301, United States"
BOULDER / FLT MNT E3,5064 Pearl St,Boulder,Colorado,80301,"5064 Pearl St, Boulder, Colorado, 80301","5064, Pearl Street, Boulder, Boulder County, Colorado, 80301, United States",40.0245082,-105.2334709,building,yes,"5064, Pearl Street, Boulder, Boulder County, Colorado, 80301, United States"
BOULDER / MSC E2,5050 Pearl St,Boulder,Colorado,80301,"5050 Pearl St, Boulder, Colorado, 80301","5050, Pearl Street, Boulder, Boulder County, Colorado, 80301, United States",40.025324,-105.2354773,building,yes,"5050, Pearl Street, Boulder, Boulder County, Colorado, 80301, United States"
BOULDER / MSC E1,5050 Pearl St,Boulder,Colorado,80301,"5050 Pearl St, Boulder, Colorado, 80301","5050, Pearl Street, Boulder, Boulder County, Colorado, 80301, United States",40.025324,-105.2354773,building,yes,"5050, Pearl Street, Boulder, Boulder County, Colorado, 80301, United States"
